LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
8450,7,5,2003,2003,196.0,706,856,856,1710,2,8,2,548,208500
9600,6,8,1976,1976,0.0,978,1262,1262,1262,2,6,2,460,181500
11250,7,5,2001,2002,162.0,486,920,920,1786,2,6,2,608,223500
9550,7,5,1915,1970,0.0,216,756,961,1717,1,7,3,642,140000
14260,8,5,2000,2000,350.0,655,1145,1145,2198,2,9,3,836,250000
14115,5,5,1993,1995,0.0,732,796,796,1362,1,5,2,480,143000
10084,8,5,2004,2005,186.0,1369,1686,1694,1694,2,7,2,636,307000
10382,7,6,1973,1973,240.0,859,1107,1107,2090,2,7,2,484,200000
6120,7,5,1931,1950,0.0,0,952,1022,1774,2,8,2,468,129900
7420,5,6,1939,1950,0.0,851,991,1077,1077,1,5,1,205,118000
11200,5,5,1965,1965,0.0,906,1040,1040,1040,1,5,1,384,129500
11924,9,5,2005,2006,286.0,998,1175,1182,2324,3,11,3,736,345000
12968,5,6,1962,1962,0.0,737,912,912,912,1,4,1,352,144000
10652,7,5,2006,2007,306.0,0,1494,1494,1494,2,7,3,840,279500
10920,6,5,1960,1960,212.0,733,1253,1253,1253,1,5,1,352,157000
6120,7,8,1929,2001,0.0,0,832,854,854,1,5,2,576,132000
11241,6,7,1970,1970,180.0,578,1004,1004,1004,1,5,2,480,149000
10791,4,5,1967,1967,0.0,0,0,1296,1296,2,6,2,516,90000
13695,5,5,2004,2004,0.0,646,1114,1114,1114,1,6,2,576,159000
7560,5,6,1958,1965,0.0,504,1029,1339,1339,1,6,1,294,139000
14215,8,5,2005,2006,380.0,0,1158,1158,2376,3,9,3,853,325300
7449,7,7,1930,1950,0.0,0,637,1108,1108,1,6,1,280,139400
9742,8,5,2002,2002,281.0,0,1777,1795,1795,2,7,2,534,230000
4224,5,7,1976,1976,0.0,840,1040,1060,1060,1,6,2,572,129900
8246,5,8,1968,2001,0.0,188,1060,1060,1060,1,6,1,270,154000
14230,8,5,2007,2007,640.0,0,1566,1600,1600,2,7,3,890,256300
7200,5,7,1951,2000,0.0,234,900,900,900,1,5,2,576,134800
11478,8,5,2007,2008,200.0,1218,1704,1704,1704,2,7,3,772,306000
16321,5,6,1957,1997,0.0,1277,1484,1600,1600,1,6,1,319,207500
6324,4,6,1927,1950,0.0,0,520,520,520,1,4,1,240,68500
8500,4,4,1920,1950,0.0,0,649,649,1317,1,6,1,250,40000
8544,5,6,1966,2006,0.0,0,1228,1228,1228,1,6,1,271,149350
11049,8,5,2007,2007,0.0,0,1234,1234,1234,2,7,2,484,179900
10552,5,5,1959,1959,0.0,1018,1398,1700,1700,1,6,2,447,165500
7313,9,5,2005,2005,246.0,1153,1561,1561,1561,2,6,2,556,277500
13418,8,5,2004,2005,132.0,0,1117,1132,2452,3,9,3,691,309000
10859,5,5,1994,1995,0.0,0,1097,1097,1097,1,6,2,672,145000
8532,5,6,1954,1990,650.0,1213,1297,1297,1297,1,5,2,498,153000
7922,5,7,1953,2007,0.0,731,1057,1057,1057,1,5,1,246,109000
6040,4,5,1955,1955,0.0,0,0,1152,1152,2,6,0,0,82000
8658,6,5,1965,1965,101.0,643,1088,1324,1324,2,6,2,440,160000
16905,5,6,1959,1959,0.0,967,1350,1328,1328,1,5,1,308,170000
9180,5,7,1983,1983,0.0,747,840,884,884,1,5,2,504,144000
9200,5,6,1975,1980,0.0,280,938,938,938,1,5,1,308,130250
7945,5,6,1959,1959,0.0,179,1150,1150,1150,1,6,1,300,141000
7658,9,5,2005,2005,412.0,456,1752,1752,1752,2,6,2,576,319900
12822,7,5,2003,2003,0.0,1351,1434,1518,2149,1,6,2,670,239686
11096,8,5,2006,2006,0.0,24,1656,1656,1656,2,7,3,826,249700
4456,4,5,1920,2008,0.0,0,736,736,1452,2,8,0,0,113000
7742,5,7,1966,1966,0.0,763,955,955,955,1,6,1,386,127000
13869,6,6,1997,1997,0.0,182,794,794,1470,2,6,2,388,177000
6240,6,6,1934,1950,0.0,0,816,816,1176,1,6,2,528,114500
8472,5,5,1963,1963,0.0,104,816,816,816,1,5,2,516,110000
50271,9,5,1981,1987,0.0,1810,1842,1842,1842,0,5,3,894,385000
7134,5,5,1955,1955,0.0,384,384,1360,1360,1,6,2,572,130000
10175,6,5,1964,1964,272.0,490,1425,1425,1425,2,7,2,576,180500
2645,8,5,1999,2000,456.0,649,970,983,1739,2,7,2,480,172500
11645,7,5,2004,2004,0.0,0,860,860,1720,2,7,2,565,196500
13682,10,5,2006,2006,1031.0,0,1410,1426,2945,3,10,3,641,438780
7200,5,7,1972,1972,0.0,632,780,780,780,1,4,1,352,124900
13072,6,5,2004,2004,0.0,941,1158,1158,1158,1,5,2,576,158000
7200,5,7,1920,1996,0.0,0,530,581,1111,1,6,1,288,101000
6442,8,5,2006,2006,178.0,24,1370,1370,1370,2,6,2,484,202500
10300,7,6,1921,1950,0.0,0,576,902,1710,2,9,2,480,140000
9375,7,5,1997,1998,573.0,739,1057,1057,2034,2,8,2,645,219500
9591,8,5,2004,2005,344.0,0,1143,1143,2473,2,9,3,852,317000
19900,7,5,1970,1989,287.0,912,1947,2207,2207,2,7,2,576,180000
10665,7,5,2003,2003,167.0,1013,1453,1479,1479,2,7,2,558,226000
4608,4,6,1945,1950,0.0,0,747,747,747,1,4,1,220,80000
15593,7,4,1953,1953,0.0,603,1304,1304,2287,2,7,2,667,225000
13651,7,6,1973,1973,1115.0,1880,2223,2223,2223,2,8,2,516,244000
7599,4,6,1982,2006,0.0,565,845,845,845,1,4,2,360,129500
10141,7,5,1998,1998,40.0,0,832,885,1718,2,7,2,427,185000
10200,5,7,1954,2003,104.0,320,1086,1086,1086,1,6,2,490,144900
5790,3,6,1915,1950,0.0,0,840,840,1605,2,8,1,379,107400
1596,4,5,1973,1973,0.0,462,462,526,988,1,5,1,297,91000
8475,4,7,1956,1956,0.0,228,952,952,952,1,4,1,283,135750
8635,5,5,1948,2001,0.0,336,672,1072,1285,1,6,1,240,127000
10778,4,5,1968,1968,0.0,0,1768,1768,1768,2,8,0,0,136500
10440,5,6,1910,1981,0.0,0,440,682,1230,1,5,2,440,110000
13000,6,6,1968,1968,576.0,448,896,1182,2142,2,8,1,509,193500
4500,6,5,1998,1998,443.0,1201,1237,1337,1337,2,5,2,405,153500
10206,8,5,2007,2007,468.0,33,1563,1563,1563,2,6,3,758,245000
8892,5,5,1960,1960,66.0,0,1065,1065,1065,1,6,2,461,126500
8530,7,5,1995,1996,22.0,0,384,804,1474,2,7,2,400,168500
16059,8,5,1991,1992,284.0,0,1288,1301,2417,2,9,2,462,260000
11911,6,5,2005,2005,0.0,0,684,684,1560,2,6,2,400,174000
3951,6,5,2009,2009,76.0,0,612,612,1224,2,4,2,528,164500
8470,3,2,1915,1982,0.0,0,1013,1013,1526,1,6,0,0,85000
8070,4,5,1994,1995,0.0,588,990,990,990,1,5,0,0,123600
7200,4,5,1950,1950,0.0,0,0,1040,1040,1,4,2,420,109900
8500,5,3,1961,1961,203.0,600,1235,1235,1235,1,6,2,480,98600
13360,5,7,1921,2006,0.0,713,876,964,964,1,5,2,432,163500
7200,6,6,1910,1998,0.0,1046,1214,1260,2291,2,9,2,506,133900
9337,6,5,1997,1997,0.0,648,824,905,1786,2,7,2,684,204750
9765,6,8,1993,1993,68.0,310,680,680,1470,2,6,2,420,185000
10264,7,5,1999,1999,183.0,1162,1588,1588,1588,2,6,2,472,214000
10921,4,5,1965,1965,48.0,520,960,960,960,1,6,1,432,94750
10625,5,5,1920,1950,0.0,108,458,835,835,1,5,1,366,83000
9320,4,5,1959,1959,0.0,569,950,1225,1225,1,6,0,0,128950
10603,6,7,1977,2001,28.0,1200,1610,1610,1610,2,6,2,480,205000
9206,6,5,1985,1985,336.0,0,741,977,1732,2,7,2,476,178000
7018,5,5,1979,1979,0.0,0,0,1535,1535,2,8,2,410,118964
10402,7,5,2009,2009,0.0,0,1226,1226,1226,2,6,3,740,198900
7758,7,4,1931,1950,600.0,224,1040,1226,1818,1,7,1,240,169500
9375,8,5,2003,2004,768.0,0,1053,1053,1992,2,9,2,648,250000
10800,4,7,1885,1995,0.0,0,641,1047,1047,1,6,1,273,100000
6000,5,5,1948,1950,0.0,104,789,789,789,1,5,1,250,115000
8500,5,7,1919,2005,0.0,0,793,997,1517,2,7,0,0,115000
11751,6,6,1977,1977,480.0,705,1844,1844,1844,2,7,2,546,190000
9525,6,4,1954,1972,0.0,444,994,1216,1855,2,7,1,325,136900
7750,7,5,2000,2000,0.0,250,384,774,1430,2,7,2,400,180000
9965,7,5,2007,2007,220.0,984,1264,1282,2696,2,10,3,792,383970
21000,6,5,1953,1953,184.0,35,1809,2259,2259,2,7,2,450,217000
7259,6,8,1945,2002,0.0,774,1028,1436,2320,2,9,1,180,259500
3230,6,5,1999,1999,1129.0,419,729,729,1458,2,5,2,440,176000
11616,5,5,1962,1962,116.0,170,1092,1092,1092,1,6,1,288,139000
8536,5,5,2006,2007,0.0,0,1125,1125,1125,1,5,2,430,155000
12376,7,5,1990,1990,0.0,1470,1673,1699,3222,3,11,3,594,320000
8461,6,5,2005,2006,0.0,0,728,728,1456,2,8,2,390,163990
21453,6,5,1969,1969,0.0,938,938,988,988,1,4,2,540,180000
6060,4,5,1939,1950,0.0,0,732,772,1123,1,4,1,264,100000
9464,6,7,1958,1958,135.0,570,1080,1080,1080,1,5,1,288,136000
7892,6,5,1993,1993,0.0,300,1199,1199,1199,2,5,2,530,153900
17043,6,5,1979,1998,0.0,0,1362,1586,1586,2,7,2,435,181000
6780,6,8,1935,1982,0.0,490,520,520,754,1,5,0,0,84500
4928,6,5,1976,1976,0.0,120,1078,958,958,2,5,2,440,128000
4388,5,7,1930,1950,0.0,116,672,840,840,1,5,0,0,87000
7590,6,5,1966,1966,266.0,512,660,660,1348,1,6,2,453,155000
8973,5,7,1958,1991,85.0,567,1008,1053,1053,1,6,2,750,150000
14200,7,6,1966,1966,309.0,445,924,1216,2157,2,8,2,487,226000
12224,6,5,2000,2000,40.0,695,992,1022,2054,2,7,2,390,244000
7388,5,6,1959,2002,0.0,405,1063,1327,1327,1,7,2,624,150750
6853,8,5,2001,2002,136.0,1005,1267,1296,1296,2,6,2,471,220000
10335,5,6,1968,1993,0.0,570,1461,1721,1721,2,7,2,440,180000
10400,7,6,1970,1970,288.0,0,1304,1682,1682,2,7,2,530,174000
10355,5,5,1967,1967,196.0,695,1214,1214,1214,2,5,1,318,143000
11070,7,5,1988,1989,70.0,0,1907,1959,1959,3,9,3,766,171000
9066,8,5,1999,2000,320.0,668,1004,1004,1852,2,7,3,660,230000
15426,6,5,1997,1997,0.0,821,928,928,1764,2,7,2,470,231500
10500,4,5,1971,1971,0.0,432,864,864,864,1,5,0,0,115000
11645,7,5,2005,2005,0.0,1300,1734,1734,1734,2,7,2,660,260000
8520,5,4,1952,1952,0.0,507,910,910,1385,2,6,2,720,166000
10335,7,5,1999,1999,183.0,679,1490,1501,1501,2,6,2,577,204000
9100,5,5,1963,1963,336.0,1332,1728,1728,1728,2,10,2,504,125000
2522,6,5,2004,2006,50.0,0,970,970,1709,2,7,2,380,130000
6120,5,7,1931,1993,0.0,209,715,875,875,1,5,1,180,105000
9505,7,5,2001,2001,180.0,0,884,884,2035,2,8,2,434,222500
7500,7,5,2004,2005,120.0,680,1080,1080,1080,1,6,0,0,141000
6240,5,4,1936,1950,0.0,0,896,896,1344,1,7,1,240,115000
10356,5,6,1975,1975,0.0,716,969,969,969,1,5,2,440,122000
13891,8,5,2007,2008,436.0,1400,1710,1710,1710,2,6,3,866,372402
14803,6,5,1971,1971,252.0,416,825,1097,1993,2,8,2,495,190000
13500,6,7,1960,1975,0.0,429,1602,1252,1252,1,4,2,564,235000
11340,6,5,1923,1950,0.0,0,1200,1200,1200,1,7,1,312,125000
9600,6,5,1924,1950,0.0,0,572,572,1096,1,5,0,0,79000
7200,5,7,1950,1950,0.0,0,0,1040,1040,1,5,2,625,109500
12003,8,5,2009,2010,84.0,0,774,774,1968,2,8,3,680,269500
12552,7,5,2004,2005,0.0,222,991,991,1947,2,8,2,678,254900
19378,7,5,2005,2006,456.0,57,1392,1392,2462,2,9,2,576,320000
11120,6,6,1984,1984,0.0,660,1232,1232,1232,2,6,2,516,162500
13688,9,5,2003,2004,664.0,1016,1572,1572,2668,2,10,3,726,412500
12182,7,5,2005,2005,226.0,1201,1541,1541,1541,2,7,2,532,220000
5500,4,6,1956,1956,0.0,0,882,882,882,1,4,0,0,103200
5400,6,7,1926,2004,0.0,370,1149,1149,1616,2,5,1,216,152000
10106,5,7,1940,1999,0.0,351,644,808,1355,2,6,0,0,127500
10708,5,5,1955,1993,0.0,379,1617,1867,1867,1,7,1,303,190000
10562,8,5,2007,2007,300.0,1288,1582,1610,2161,1,8,3,789,325624
8244,7,5,2004,2004,0.0,0,840,840,1720,2,7,2,440,183500
16669,8,6,1981,1981,653.0,0,1686,1707,1707,2,6,2,511,228000
12358,5,6,1941,1950,0.0,360,720,854,1382,1,7,2,660,128500
31770,6,5,1960,1960,112.0,639,1080,1656,1656,1,7,2,528,215000
5306,7,7,1987,1987,0.0,495,1064,1064,1767,2,5,2,504,239000
10197,6,5,1961,1961,491.0,288,1362,1362,1362,1,6,2,504,163000
12416,6,5,1986,1986,132.0,1398,1606,1651,1651,2,7,2,616,184000
12615,6,7,1950,2001,0.0,477,1202,2158,2158,2,7,2,576,243000
10029,6,5,1988,1989,268.0,831,1151,1164,2060,2,8,2,521,211000
13650,5,5,1958,1958,0.0,57,1052,1252,1920,2,8,2,451,172500
17423,9,5,2008,2009,748.0,1904,2216,2234,2234,2,9,3,1166,501837
8520,5,6,1923,2006,0.0,0,968,968,968,1,5,2,480,100000
2117,6,5,2000,2000,456.0,436,756,769,1525,2,5,2,440,177000
7588,7,6,1920,1950,0.0,352,793,901,1802,1,9,1,216,200100
9060,5,6,1957,2006,98.0,0,0,1340,1340,1,7,1,252,120000
11426,7,5,2003,2003,0.0,0,1362,1362,2082,2,6,2,484,200000
7438,5,8,1908,1991,0.0,0,504,936,1252,1,5,2,576,127000
22950,10,9,1892,1993,0.0,0,1107,1518,3608,2,12,3,840,475000
9947,7,5,1990,1991,0.0,611,1188,1217,1217,2,6,2,497,173000
10410,5,7,1916,1987,0.0,0,660,808,1656,2,8,1,180,135000
7018,5,5,1979,1979,275.0,1086,1086,1224,1224,0,6,2,528,153337
4923,8,5,2001,2002,0.0,1153,1593,1593,1593,1,5,2,682,286000
10570,8,8,1932,1994,0.0,297,853,1549,2727,2,10,2,440,315000
7472,7,9,1972,2004,138.0,626,725,725,1479,1,7,2,484,184000
9017,7,5,1999,1999,0.0,560,1431,1431,1431,2,6,2,666,192000
2522,7,5,2004,2004,50.0,0,970,970,1709,2,7,2,380,130000
7180,5,7,1972,1972,0.0,390,864,864,864,1,5,1,352,127000
2280,6,6,1976,1976,0.0,566,855,855,1456,2,7,2,440,148500
9416,7,5,2007,2007,205.0,1126,1726,1726,1726,2,8,3,786,311872
25419,8,4,1918,1990,0.0,1036,1360,1360,3112,2,8,2,795,235000
5520,6,6,1912,1950,0.0,0,755,929,2229,1,8,0,0,104000
9591,8,5,2004,2005,262.0,1088,1713,1713,1713,2,7,3,856,274900
8546,4,5,2003,2004,0.0,0,1121,1121,1121,2,5,2,440,140000
10125,6,6,1977,1977,0.0,641,1196,1279,1279,2,6,2,473,171500
7000,6,6,1924,1950,0.0,617,617,865,1310,2,6,1,398,112000
4438,6,5,2004,2004,205.0,662,848,848,848,1,3,2,420,149000
3500,5,7,1947,1950,0.0,312,720,720,1284,1,5,1,240,110000
11851,7,5,1990,1990,0.0,0,1424,1442,1442,2,5,2,500,180500
13673,5,5,1962,1962,0.0,0,1140,1696,1696,1,8,1,349,143900
12493,4,5,1960,1960,0.0,419,1100,1100,1100,1,6,1,312,141000
14364,7,5,1988,1989,128.0,1065,1157,1180,2062,2,7,2,454,277000
8250,6,7,1964,1964,260.0,787,1092,1092,1092,1,6,2,504,145000
5604,5,6,1925,1950,0.0,468,864,864,864,1,5,0,0,98000
10420,6,5,2009,2009,0.0,36,1212,1212,1212,2,6,2,460,186000
8640,7,5,2009,2009,0.0,822,900,932,1852,2,7,2,644,252678
13568,5,5,1995,1995,0.0,716,990,990,990,1,5,2,576,156000
10900,6,7,1977,1977,153.0,378,689,689,1392,1,6,1,299,161750
10011,5,6,1957,1996,64.0,360,1070,1236,1236,1,6,1,447,134450
8450,7,5,2004,2004,266.0,946,1436,1436,1436,2,8,2,484,210000
9906,4,4,1925,1950,0.0,0,686,810,1328,1,8,1,210,107000
15660,7,9,1939,2006,312.0,341,798,1137,1954,1,8,2,431,311500
3010,7,5,2005,2006,16.0,16,1248,1248,1248,2,5,2,438,167240
8990,7,5,2006,2006,0.0,0,1498,1498,1498,2,5,2,675,204900
8068,6,5,2002,2002,0.0,0,1010,1010,2267,2,8,2,390,200000
11475,6,6,1975,1975,0.0,550,713,811,1552,2,6,2,434,179900
10500,4,6,1971,1971,0.0,524,864,864,864,1,4,2,576,97000
13472,10,5,2003,2003,922.0,56,2392,2392,2392,2,8,3,968,386250
1680,5,5,1971,1971,142.0,0,630,630,1302,2,6,1,280,112000
9950,7,5,1995,1995,290.0,565,1203,1214,2520,2,9,3,721,290000
1869,6,6,1970,1970,127.0,321,483,483,987,1,5,1,280,106000
8521,5,5,1967,1967,0.0,842,912,912,912,1,5,1,336,125000
3182,7,5,2005,2006,16.0,16,1373,1555,1555,2,7,2,430,192500
8760,6,6,1959,1959,220.0,0,1194,1194,1194,1,6,1,312,148000
15138,8,5,1995,1996,506.0,689,1462,1490,2794,2,9,3,810,403000
1680,6,5,1972,1972,297.0,0,483,483,987,1,5,1,288,94500
10650,5,6,1976,1976,0.0,182,894,894,894,1,5,1,308,128200
1680,6,3,1971,1971,604.0,358,483,483,987,1,5,1,264,89500
8773,7,5,2004,2004,98.0,24,1414,1414,1414,2,6,2,494,185500
9453,7,7,1993,2003,0.0,402,996,1014,1744,2,7,2,457,194500
12030,8,5,2007,2007,254.0,0,1694,1694,1694,2,7,3,818,318000
8741,6,4,1945,1950,0.0,94,735,798,1487,1,7,1,220,113000
9000,8,5,2008,2008,36.0,1078,1566,1566,1566,2,7,2,750,262500
3880,5,9,1945,1997,0.0,329,686,866,866,1,4,0,0,110500
5000,5,4,1900,1950,0.0,0,540,889,1440,1,6,1,352,79000
10762,6,6,1980,1980,0.0,0,626,626,1217,1,6,1,288,120000
8880,7,5,1994,2002,0.0,695,948,1222,2110,2,8,2,463,205000
10400,7,5,1988,1988,102.0,929,1845,1872,1872,2,6,2,604,241500
9142,6,8,1910,1950,0.0,0,1020,908,1928,2,9,1,440,137000
11310,6,5,1954,1954,0.0,0,1367,1375,1375,1,5,2,451,140000
11317,7,5,2003,2003,101.0,0,840,840,1668,2,8,2,500,180000
159000,6,7,1958,2006,472.0,697,1444,1444,2144,2,7,2,389,277000
5350,3,2,1940,1966,0.0,0,728,1306,1306,1,6,0,0,76500
4750,8,5,2006,2007,481.0,1573,1573,1625,1625,2,5,2,538,235000
8366,6,5,2004,2004,0.0,0,798,798,1640,2,6,2,520,173000
9350,6,7,1964,1991,108.0,270,1302,1302,1302,2,7,1,309,158000
8400,5,6,1957,1957,0.0,922,1314,1314,1314,1,5,1,294,145000
8738,7,5,1999,1999,302.0,0,975,1005,2291,2,8,2,429,230000
8791,6,5,2003,2003,0.0,503,864,864,1728,2,7,2,673,207500
8814,7,5,2006,2006,180.0,1334,1604,1604,1604,2,8,2,660,220000
12435,7,5,2001,2001,172.0,361,963,963,1792,2,7,2,564,231500
12702,5,5,1956,1956,0.0,0,0,882,882,1,4,1,308,97000
19296,6,5,1962,1962,399.0,672,1362,1382,1382,1,6,2,884,176000
9588,8,5,2007,2007,270.0,0,1482,1482,2574,2,10,3,868,276000
8471,6,7,1977,1995,46.0,506,506,1212,1212,1,6,2,492,151000
5500,5,7,1929,2001,0.0,234,926,926,1316,1,6,2,484,130000
5232,5,5,1925,2004,0.0,0,680,764,764,1,4,2,504,73000
12090,6,6,1981,1981,210.0,588,1422,1422,1422,2,7,2,576,175500
11207,6,5,1997,1997,0.0,714,802,802,1511,2,8,2,413,185000
8400,5,8,1939,1997,0.0,378,720,1052,2192,2,8,1,240,179500
6900,5,6,1940,1955,0.0,403,740,778,778,1,4,1,924,120500
7917,6,7,1976,1976,174.0,751,1143,1113,1113,1,6,1,504,148000
10728,8,5,2006,2006,0.0,0,1095,1095,1939,2,8,3,1053,266000
39104,7,7,1954,2005,0.0,226,1385,1363,1363,1,5,2,439,241500
11764,8,7,1999,2007,348.0,524,1152,1164,2270,2,9,3,671,290000
9600,6,6,1958,1988,183.0,620,1240,1632,1632,2,6,1,338,139000
8314,5,7,1982,1982,0.0,546,816,816,816,1,5,1,264,124500
7264,7,7,1925,2007,0.0,0,952,952,1548,2,5,2,672,205000
9196,7,5,2003,2003,0.0,0,1560,1560,1560,2,7,2,573,201000
19138,4,5,1951,1951,0.0,120,864,864,864,1,4,2,400,141000
14450,9,5,2006,2007,315.0,0,2121,2121,2121,2,8,3,732,415298
10005,7,5,1977,1977,299.0,392,1160,1156,2022,2,8,2,505,192000
11287,7,6,1989,1989,340.0,421,807,1175,1982,2,7,2,575,228500
7200,6,5,2006,2006,68.0,905,1262,1262,1262,2,5,2,572,185000
5063,7,5,2007,2008,166.0,904,1314,1314,1314,2,6,2,626,207500
9612,8,5,2008,2009,72.0,0,1468,1468,1468,2,6,3,898,244600
8012,6,5,1992,1992,0.0,430,1575,1575,1575,2,5,2,529,179200
4251,7,5,2006,2007,0.0,0,625,625,1250,2,5,2,528,164700
9786,6,7,1962,1981,0.0,600,912,1085,1734,1,7,2,440,159000
8125,4,4,1971,1971,0.0,614,858,858,858,1,5,0,0,88000
9819,5,5,1967,1967,31.0,450,882,900,900,1,5,1,280,122000
